id,name,ProjectManagerName,projectName,status,startDate,deadline
646ba155f9f8fbbbc073e419,Ray-leena=test-Copy -Translation المنصة  (Task 3),MAHG,Ray-leena=test Edit,Tasks Board,Mon May 22 2023 19:07:32 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
646cbf8540b8173c151b603f,Ray-leena=test-Animation -Animated designs  (t5),MAHG,Ray-leena=test Edit,In Progress,Tue May 23 2023 15:28:36 GMT+0200 (Eastern European Standard Time),Wed May 24 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
646cbfc740b8173c151b6081,Ray-leena=test-new category 44-sub new (late scheduling 4:30pm ),MAHG,Ray-leena=test Edit,In Progress,Tue May 23 2023 15:29:42 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
646f75399aec3fb8ca3ee38b,Late scheduling *******,MAHG,Ray-leena=test Edit,Tasks Board,Thu May 25 2023 16:48:23 GMT+0200 (Eastern European Standard Time),Thu Aug 24 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
646f8dc5eabf9f42c7297873,Ray-leena=test-new category 44- (TESTING DOUBLING),MAHG,Ray-leena=test Edit,In Progress,Thu May 25 2023 18:33:08 GMT+0200 (Eastern European Standard Time),Wed May 24 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
646fc7dfeabf9f42c7297940,Ray-leena=test-Animation -Motion graphic  (t),MAHG,Ray-leena=test Edit,Tasks Board,Thu May 25 2023 22:41:01 GMT+0200 (Eastern European Standard Time),Tue Aug 15 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
6475e43630422302c55e05ba, LateScheduling-3PM,MAHG,Ray-leena=test Edit,In Progress,Tue May 30 2023 13:55:32 GMT+0200 (Eastern European Standard Time),Sun Jun 11 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
6475e56430422302c55e0676, (TR),MAHG,Ray-leena=test Edit,Done,Tue May 30 2023 14:00:35 GMT+0200 (Eastern European Standard Time),Tue Jun 20 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
6475e92830422302c55e0bd5,TaskUnClear-3:17PM,MAHG,Ray-leena=test Edit,In Progress,Tue May 30 2023 14:16:39 GMT+0200 (Eastern European Standard Time),Tue May 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
6475f08930422302c55e0c87,missedDelievery -3:48PM,MAHG,Ray-leena=test Edit,Tasks Board,Tue May 30 2023 14:48:08 GMT+0200 (Eastern European Standard Time),Wed Jun 28 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64b7ae4b77d56e880c989904,Barbell-t2ff-Design -Mock-ups  (Task),MAHG,Barbell-t2ff,In Progress,Wed Jul 19 2023 11:35:07 GMT+0200 (Eastern European Standard Time),
64c12e5248aebf676b8f1e44,Ray-leena=test-Design -Documents  (task 4 turnaround 5pm),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Mon May 22 2023 19:10:13 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64c13a02ed9759533320587d,Ray-leena=test-Copy -Translation  (task from ttp),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Tue May 23 2023 11:03:32 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64c13a02ed9759533320587f,Ray-leena=test-Animation -Storyboards  (task unclear 4:30pm ),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Tue May 23 2023 15:34:25 GMT+0200 (Eastern European Standard Time),Wed Aug 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64c13a02ed97595333205881,Barbell-leena=test Edit-new category 44-sub new (card duplication on trello testing),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Sun Jun 11 2023 14:16:33 GMT+0200 (Eastern European Standard Time),Sat Jun 10 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64c13a02ed97595333205883,Ray-leena=test-Concepts - (TESTING DOUBLING 1),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Thu May 25 2023 18:20:49 GMT+0200 (Eastern European Standard Time),Mon Aug 14 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64c13a02ed97595333205885,Ray-project1 -new category 44-sub new 1 (Test),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Sat Jun 24 2023 19:25:15 GMT+0200 (Eastern European Standard Time),Thu Jun 29 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64c13a02ed97595333205887,Ray-leena=test-Copy -Translation  (test webhook),Un Assigned to any Project,Un Assigned to any project,In Progress,Mon May 22 2023 19:48:21 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64c13a02ed97595333205889,Ray-leena=test-Animation -Animated designs  (t2),Un Assigned to any Project,Un Assigned to any project,In Progress,Tue May 23 2023 15:18:55 GMT+0200 (Eastern European Standard Time),Wed Aug 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64c13a02ed9759533320588b,Ray-leena=test-new category 44-sub new 1 (canceld),Un Assigned to any Project,Un Assigned to any project,In Progress,Tue May 23 2023 15:48:46 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64c13a02ed9759533320588d,Ray-leena=test-new category 44-sub new (dustrpted),Un Assigned to any Project,Un Assigned to any project,Cancled,Tue May 23 2023 15:47:26 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64c13a02ed9759533320588f,Ray-leena=test-new category 44-sub new (late scheudling),Un Assigned to any Project,Un Assigned to any project,Cancled,Tue May 23 2023 22:17:48 GMT+0200 (Eastern European Standard Time),Wed Aug 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64c13a02ed97595333205891,Barbell-leena=test Edit-new category 44-sub new (tRe),Un Assigned to any Project,Un Assigned to any project,Cancled,Mon May 29 2023 07:00:43 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58a6,Barbell-t2ff-Design -Mock-ups  (Task),Un Assigned to any Project,Un Assigned to any project,In Progress,Wed Jul 19 2023 11:35:07 GMT+0200 (Eastern European Standard Time),
64d2453e3fcfa243410d58a8,Ray-leena=test-Copy -Translation المنصة  (Task 3),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Mon May 22 2023 19:07:32 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58aa,Ray-leena=test-Copy -Translation  (task from ttp),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Tue May 23 2023 11:03:32 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58ac,Late scheduling *******,Un Assigned to any Project,Un Assigned to any project,Tasks Board,Thu May 25 2023 16:48:23 GMT+0200 (Eastern European Standard Time),Thu Aug 24 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58ae,Ray-leena=test-Animation -Motion graphic  (t),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Thu May 25 2023 22:41:01 GMT+0200 (Eastern European Standard Time),Tue Aug 15 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58b0,missedDelievery -3:48PM,Un Assigned to any Project,Un Assigned to any project,Tasks Board,Tue May 30 2023 14:48:08 GMT+0200 (Eastern European Standard Time),Wed Jun 28 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58b2,Ray-leena=test-Design -Documents  (task 4 turnaround 5pm),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Mon May 22 2023 19:10:13 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58b4,Ray-leena=test-Animation -Storyboards  (task unclear 4:30pm ),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Tue May 23 2023 15:34:25 GMT+0200 (Eastern European Standard Time),Wed Aug 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58b6,Barbell-leena=test Edit-new category 44-sub new (card duplication on trello testing),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Sun Jun 11 2023 14:16:33 GMT+0200 (Eastern European Standard Time),Sat Jun 10 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58b8,Ray-leena=test-Concepts - (TESTING DOUBLING 1),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Thu May 25 2023 18:20:49 GMT+0200 (Eastern European Standard Time),Mon Aug 14 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58ba,Ray-project1 -new category 44-sub new 1 (Test),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Sat Jun 24 2023 19:25:15 GMT+0200 (Eastern European Standard Time),Thu Jun 29 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58bc,Ray-leena=test-Copy -Translation  (test webhook),Un Assigned to any Project,Un Assigned to any project,In Progress,Mon May 22 2023 19:48:21 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58be,Ray-leena=test-Animation -Animated designs  (t2),Un Assigned to any Project,Un Assigned to any project,In Progress,Tue May 23 2023 15:18:55 GMT+0200 (Eastern European Standard Time),Wed Aug 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58c0, LateScheduling-3PM,Un Assigned to any Project,Un Assigned to any project,In Progress,Tue May 30 2023 13:55:32 GMT+0200 (Eastern European Standard Time),Sun Jun 11 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58c2,Ray-leena=test-new category 44- (TESTING DOUBLING),Un Assigned to any Project,Un Assigned to any project,In Progress,Thu May 25 2023 18:33:08 GMT+0200 (Eastern European Standard Time),Wed May 24 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58c4,TaskUnClear-3:17PM,Un Assigned to any Project,Un Assigned to any project,In Progress,Tue May 30 2023 14:16:39 GMT+0200 (Eastern European Standard Time),Tue May 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58c6,Ray-leena=test-new category 44-sub new 1 (canceld),Un Assigned to any Project,Un Assigned to any project,In Progress,Tue May 23 2023 15:48:46 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58c8,Ray-leena=test-Animation -Animated designs  (t5),Un Assigned to any Project,Un Assigned to any project,In Progress,Tue May 23 2023 15:28:36 GMT+0200 (Eastern European Standard Time),Wed May 24 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58ca,Ray-leena=test-new category 44-sub new (late scheduling 4:30pm ),Un Assigned to any Project,Un Assigned to any project,In Progress,Tue May 23 2023 15:29:42 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58cc,Ray-leena=test-new category 44-sub new (dustrpted),Un Assigned to any Project,Un Assigned to any project,Cancled,Tue May 23 2023 15:47:26 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58ce,Ray-leena=test-new category 44-sub new (late scheudling),Un Assigned to any Project,Un Assigned to any project,Cancled,Tue May 23 2023 22:17:48 GMT+0200 (Eastern European Standard Time),Wed Aug 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58d0,Barbell-leena=test Edit-new category 44-sub new (tRe),Un Assigned to any Project,Un Assigned to any project,Cancled,Mon May 29 2023 07:00:43 GMT+0200 (Eastern European Standard Time),Sun Jul 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58d2,Barbell-Testing create project-new category 44- (Testing Ezzat PM),Un Assigned to any Project,Un Assigned to any project,Review,Sun May 28 2023 10:58:57 GMT+0200 (Eastern European Standard Time),Sat May 27 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d2453e3fcfa243410d58d4, (TR),Un Assigned to any Project,Un Assigned to any project,Done,Tue May 30 2023 14:00:35 GMT+0200 (Eastern European Standard Time),Tue Jun 20 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d248c4b9c63517e75eed92,card duplication testing,Un Assigned to any Project,Un Assigned to any project,Tasks Board,Sun Jun 11 2023 07:00:00 GMT+0200 (Eastern European Standard Time),Tue Jun 27 2023 14:15:00 GMT+0200 (Eastern European Standard Time)
64d24f3f33876d1b3b4db632,Nawaf Elmohsem-leena test-Animation -3D models  (t4),Un Assigned to any Project,Un Assigned to any project,Tasks Board,Wed May 17 2023 14:10:05 GMT+0200 (Eastern European Standard Time),Tue May 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d24f3f33876d1b3b4db634,cart,Un Assigned to any Project,Un Assigned to any project,Not Clear,,
64d24f3f33876d1b3b4db636,card 1,Un Assigned to any Project,Un Assigned to any project,Not Clear,,
64d24f3f33876d1b3b4db638,Nawaf Elmohsem-MohammedTest02,Un Assigned to any Project,Un Assigned to any project,Tasks Board,Wed Mar 01 2023 00:00:00 GMT+0200 (Eastern European Standard Time),Fri Mar 31 2023 00:00:00 GMT+0200 (Eastern European Standard Time)
64d24f3f33876d1b3b4db63a,Nawaf Elmohsem-hhhhhhhh,Un Assigned to any Project,Un Assigned to any project,Tasks Board,Mon Apr 10 2023 02:00:00 GMT+0200 (Eastern European Standard Time),Sun Jun 11 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d24f3f33876d1b3b4db63c,Barbell-Leena-test,Un Assigned to any Project,Un Assigned to any project,Tasks Board,Tue May 02 2023 02:00:00 GMT+0200 (Eastern European Standard Time),Tue May 23 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d24f3f33876d1b3b4db63e,Nawaf Elmohsem-leena test,Un Assigned to any Project,Un Assigned to any project,Tasks Board,Tue May 16 2023 23:00:00 GMT+0200 (Eastern European Standard Time),Tue May 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d24f3f33876d1b3b4db640,Ray-project1 ,Un Assigned to any Project,Un Assigned to any project,Tasks Board,Mon May 08 2023 02:00:00 GMT+0200 (Eastern European Standard Time),Tue May 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d24f3f33876d1b3b4db642,Ray-leena=test Edit,Un Assigned to any Project,Un Assigned to any project,Tasks Board,Mon May 01 2023 02:00:00 GMT+0200 (Eastern European Standard Time),Wed Aug 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d24f3f33876d1b3b4db644,Barbell-Testing create project hello,Un Assigned to any Project,Un Assigned to any project,Tasks Board,Mon May 01 2023 02:00:00 GMT+0200 (Eastern European Standard Time),Tue May 30 2023 23:00:00 GMT+0200 (Eastern European Standard Time)
64d24f3f33876d1b3b4db646,card 1,Un Assigned to any Project,Un Assigned to any project,Tasks Board,,
64d24f3f33876d1b3b4db648,card 2,Un Assigned to any Project,Un Assigned to any project,Cancled,,
64d25160a24c76ab15b4e42a,card 1,Un Assigned to any Project,Un Assigned to any project,Not Clear,,
64d251f68cb4f95818afdbea,cart,Un Assigned to any Project,Un Assigned to any project,Not Clear,,
64d251f68cb4f95818afdbec,card 1,Un Assigned to any Project,Un Assigned to any project,Not Clear,,
64d251f68cb4f95818afdbee,card 1,Un Assigned to any Project,Un Assigned to any project,Tasks Board,,
64d251f68cb4f95818afdbf0,card 2,Un Assigned to any Project,Un Assigned to any project,Cancled,,
64d253938685975e7b4aa594,cart,Un Assigned to any Project,Un Assigned to any project,Not Clear,,
64d253938685975e7b4aa596,card 1,Un Assigned to any Project,Un Assigned to any project,Not Clear,,
64d253938685975e7b4aa598,card 1,Un Assigned to any Project,Un Assigned to any project,Tasks Board,,
64d253938685975e7b4aa59a,card 2,Un Assigned to any Project,Un Assigned to any project,Cancled,,